pattern_plain,feature,op,threshold,n,mean_rating,base_rate,shift_vs_base,like_frac,notsure_frac,dislike_frac,lean,spearman_rho
how widely the final chord spans within a single octave is high (> 8),c3_pcspread,>,8.0,205,-0.371,-0.355,-0.016,0.239,0.151,0.61,NOT SURE / neutral,-0.021
more than 2 number of repeated notes in the melody (3 or more),melo_repeat,>,2.0,236,-0.339,-0.355,0.016,0.233,0.195,0.572,NOT SURE / neutral,0.037
how widely chord 3 spans within a single octave is low (≤ 8),c2_pcspread,<=,8.0,271,-0.339,-0.355,0.015,0.229,0.203,0.568,NOT SURE / neutral,0.013
how spread-out the melody's pitches are is high (> 1.7),melo_std,>,1.7,238,-0.37,-0.355,-0.015,0.218,0.193,0.588,NOT SURE / neutral,0.014
at most 2 times all four voices move the same direction together,parallel_moves,<=,2.0,384,-0.37,-0.355,-0.015,0.224,0.182,0.594,NOT SURE / neutral,0.016
the gap between the 2nd and 3rd notes of chord 3 is high (> 3),c2_gap1,>,3.0,216,-0.37,-0.355,-0.015,0.208,0.213,0.579,NOT SURE / neutral,0.024
variety of pitch-classes in the melody is high (> 2.45),melo_pc_entropy,>,2.45,219,-0.37,-0.355,-0.015,0.215,0.201,0.584,NOT SURE / neutral,-0.018
at most 2 number of repeated notes in the melody,melo_repeat,<=,2.0,243,-0.37,-0.355,-0.015,0.222,0.185,0.593,NOT SURE / neutral,0.037
how spread-out the melody's pitches are is low (≤ 1.7),melo_std,<=,1.7,241,-0.34,-0.355,0.015,0.237,0.187,0.577,NOT SURE / neutral,0.014
how widely chord 2 spans within a single octave is low (≤ 8),c1_pcspread,<=,8.0,288,-0.34,-0.355,0.015,0.236,0.188,0.576,NOT SURE / neutral,-0.02
chord 1's 3rd note (pitch height) is low (≤ 64),n2,<=,64.0,303,-0.34,-0.355,0.015,0.241,0.178,0.581,NOT SURE / neutral,-0.048
how far the melody clears the top of the chords is low (≤ -3),melo_above_gap,<=,-3.0,267,-0.341,-0.355,0.014,0.236,0.187,0.577,NOT SURE / neutral,-0.003
at most 1 notes held over from chord 2 to chord 3,common1,<=,1.0,364,-0.341,-0.355,0.014,0.234,0.192,0.574,NOT SURE / neutral,0.01
total movement of the melody line is high (> 8),melo_motion,>,8.0,204,-0.368,-0.355,-0.013,0.225,0.181,0.593,NOT SURE / neutral,-0.018
the harshest interval inside the final chord is low (≤ 5),c3_icmax,<=,5.0,272,-0.342,-0.355,0.013,0.228,0.202,0.57,NOT SURE / neutral,-0.009
variety of pitch-classes in the melody is low (≤ 2.45),melo_pc_entropy,<=,2.45,260,-0.342,-0.355,0.013,0.238,0.181,0.581,NOT SURE / neutral,-0.018
the gap between the 2nd and 3rd notes of chord 3 is low (≤ 3),c2_gap1,<=,3.0,263,-0.342,-0.355,0.013,0.243,0.171,0.586,NOT SURE / neutral,0.024
at most 1 times the voices split and move in opposite directions,contrary_moves,<=,1.0,412,-0.342,-0.355,0.013,0.238,0.182,0.58,NOT SURE / neutral,-0.052
the gap between the 2nd and 3rd notes of the final chord is low (≤ 3),c3_gap1,<=,3.0,297,-0.343,-0.355,0.011,0.242,0.172,0.586,NOT SURE / neutral,0.053
how widely the final chord spans within a single octave is low (≤ 8),c3_pcspread,<=,8.0,274,-0.343,-0.355,0.012,0.219,0.219,0.562,NOT SURE / neutral,-0.021
the melody's 3rd note (pitch height) is high (> 70),m2,>,70.0,163,-0.344,-0.355,0.011,0.215,0.227,0.558,NOT SURE / neutral,0.074
the gap between the two highest notes of chord 1 is low (≤ 3),c0_gap2,<=,3.0,299,-0.344,-0.355,0.01,0.237,0.181,0.582,NOT SURE / neutral,0.015
the gap between the two lowest notes of chord 3 is low (≤ 3),c2_gap0,<=,3.0,291,-0.344,-0.355,0.011,0.234,0.189,0.577,NOT SURE / neutral,-0.025
"at most 10 distinct pitches used, ignoring octave",pc_distinct,<=,10.0,397,-0.365,-0.355,-0.01,0.224,0.186,0.589,NOT SURE / neutral,0.061
the gap between the two highest notes of chord 2 is high (> 3),c1_gap2,>,3.0,181,-0.365,-0.355,-0.01,0.21,0.215,0.575,NOT SURE / neutral,0.034
total movement of the melody line is low (≤ 8),melo_motion,<=,8.0,275,-0.345,-0.355,0.009,0.229,0.196,0.575,NOT SURE / neutral,-0.018
the total distance the harmony travels in pitch is high (> 9),abs_motion,>,9.0,236,-0.364,-0.355,-0.01,0.22,0.195,0.585,NOT SURE / neutral,-0.013
the total distance the harmony travels in pitch is low (≤ 9),abs_motion,<=,9.0,243,-0.346,-0.355,0.009,0.235,0.185,0.58,NOT SURE / neutral,-0.013
more than 1 pitches shared (ignoring octave) between chord 2 and chord 3 (2 or more),commonpc1,>,1.0,185,-0.346,-0.355,0.009,0.238,0.178,0.584,NOT SURE / neutral,-0.002
more than 8 notes falling off the standard tuning grid (9 or more),odd_notes,>,8.0,144,-0.347,-0.355,0.008,0.201,0.25,0.549,NOT SURE / neutral,0.033
at most 1 notes held over from chord 1 to chord 2,common0,<=,1.0,356,-0.348,-0.355,0.007,0.222,0.208,0.57,NOT SURE / neutral,-0.001
how far the melody sits above the chord tops on average is high (> 3.05),melo_vs_top_mean,>,3.05,238,-0.361,-0.355,-0.006,0.223,0.193,0.584,NOT SURE / neutral,0.01
the melody's 3rd note (pitch height) is low (≤ 70),m2,<=,70.0,316,-0.361,-0.355,-0.006,0.234,0.171,0.595,NOT SURE / neutral,0.074
at most 1 pitches shared (ignoring octave) between chord 2 and chord 3,commonpc1,<=,1.0,294,-0.361,-0.355,-0.006,0.221,0.197,0.582,NOT SURE / neutral,-0.002
how far the melody sits above the chord tops on average is low (≤ 3.05),melo_vs_top_mean,<=,3.05,241,-0.349,-0.355,0.006,0.232,0.187,0.581,NOT SURE / neutral,0.01
the gap between the two highest notes of chord 2 is low (≤ 3),c1_gap2,<=,3.0,298,-0.349,-0.355,0.006,0.238,0.174,0.587,NOT SURE / neutral,0.034
the pitch step from chord 1 to chord 2 is high (> 0),move0,>,0.0,234,-0.35,-0.355,0.004,0.231,0.188,0.581,NOT SURE / neutral,0.046
"the spread of chord 3, lowest to highest note is high (> 9)",c2_span,>,9.0,203,-0.35,-0.355,0.005,0.222,0.207,0.571,NOT SURE / neutral,0.037
the pitch step from chord 1 to chord 2 is low (≤ 0),move0,<=,0.0,245,-0.359,-0.355,-0.004,0.224,0.192,0.584,NOT SURE / neutral,0.046
the pitch range covered by the bass line is high (> 5),bass_range,>,5.0,231,-0.359,-0.355,-0.004,0.221,0.199,0.58,NOT SURE / neutral,0.018
the average harshness of the intervals inside chord 2 is high (> 3.5),c1_icmean,>,3.5,181,-0.359,-0.355,-0.004,0.238,0.166,0.597,NOT SURE / neutral,0.012
"the spread of chord 3, lowest to highest note is low (≤ 9)",c2_span,<=,9.0,276,-0.359,-0.355,-0.004,0.232,0.178,0.591,NOT SURE / neutral,0.037
the pitch range covered by the bass line is low (≤ 5),bass_range,<=,5.0,248,-0.351,-0.355,0.004,0.234,0.181,0.585,NOT SURE / neutral,0.018
the most consonant interval inside chord 1 is high (> 1),c0_icmin,>,1.0,137,-0.358,-0.355,-0.003,0.248,0.146,0.606,NOT SURE / neutral,0.007
at most 8 notes falling off the standard tuning grid,odd_notes,<=,8.0,335,-0.358,-0.355,-0.003,0.239,0.164,0.597,NOT SURE / neutral,0.033
the gap between the two lowest notes of chord 2 is high (> 3),c1_gap0,>,3.0,193,-0.358,-0.355,-0.003,0.212,0.218,0.57,NOT SURE / neutral,-0.01
the gap between the 2nd and 3rd notes of chord 2 is high (> 3),c1_gap1,>,3.0,193,-0.352,-0.355,0.003,0.228,0.192,0.58,NOT SURE / neutral,0.016
the average harshness of the intervals inside chord 2 is low (≤ 3.5),c1_icmean,<=,3.5,298,-0.352,-0.355,0.003,0.221,0.205,0.574,NOT SURE / neutral,0.012
the total movement of the bass line is high (> 8),bass_motion,>,8.0,224,-0.357,-0.355,-0.002,0.228,0.188,0.585,NOT SURE / neutral,0.024
the total distance the bass (lowest) voice travels is high (> 8),v0_leap,>,8.0,224,-0.357,-0.355,-0.002,0.228,0.188,0.585,NOT SURE / neutral,0.024
the gap between the 2nd and 3rd notes of chord 2 is low (≤ 3),c1_gap1,<=,3.0,286,-0.357,-0.355,-0.002,0.227,0.189,0.584,NOT SURE / neutral,0.016
melodic range (highest→lowest note of the tune) is high (> 5),melo_range,>,5.0,224,-0.357,-0.355,-0.002,0.223,0.196,0.58,NOT SURE / neutral,0.0
the total distance the bass (lowest) voice travels is low (≤ 8),v0_leap,<=,8.0,255,-0.353,-0.355,0.002,0.227,0.192,0.58,NOT SURE / neutral,0.024
the gap between the two lowest notes of chord 2 is low (≤ 3),c1_gap0,<=,3.0,286,-0.353,-0.355,0.002,0.238,0.171,0.591,NOT SURE / neutral,-0.01
the total movement of the bass line is low (≤ 8),bass_motion,<=,8.0,255,-0.353,-0.355,0.002,0.227,0.192,0.58,NOT SURE / neutral,0.024
melodic range (highest→lowest note of the tune) is low (≤ 5),melo_range,<=,5.0,255,-0.353,-0.355,0.002,0.231,0.184,0.584,NOT SURE / neutral,0.0
how spread-out the notes of chord 1 are is high (> 3.34),c0_std,>,3.34,222,-0.356,-0.355,-0.001,0.23,0.185,0.586,NOT SURE / neutral,-0.017
chord 2's 2nd note (pitch height) is high (> 61),n5,>,61.0,216,-0.356,-0.355,-0.002,0.222,0.199,0.579,NOT SURE / neutral,0.03
chord 2's 2nd note (pitch height) is low (≤ 61),n5,<=,61.0,263,-0.354,-0.355,0.001,0.232,0.183,0.586,NOT SURE / neutral,0.03
the most consonant interval inside chord 1 is low (≤ 1),c0_icmin,<=,1.0,342,-0.354,-0.355,0.001,0.219,0.208,0.573,NOT SURE / neutral,0.007
how spread-out the notes of chord 1 are is low (≤ 3.34),c0_std,<=,3.34,257,-0.354,-0.355,0.001,0.226,0.195,0.58,NOT SURE / neutral,-0.017
how spread-out the notes of chord 2 are is low (≤ 3.39),c1_std,<=,3.39,245,-0.355,-0.355,-0.0,0.241,0.163,0.596,NOT SURE / neutral,0.019
how spread-out the notes of chord 2 are is high (> 3.39),c1_std,>,3.39,234,-0.355,-0.355,0.0,0.214,0.218,0.568,NOT SURE / neutral,0.019
